HVE   38-25-00.534N 110-41-59.038W
HVN   41-15-44.349N 072-53-06.662W
HVQ   38-20-58.836N 081-46-11.688W
HVR   48-32-25.693N 109-46-11.937W
HYK   37-57-58.860N 084-28-21.059W
HYP   37-13-09.712N 120-24-00.939W
HYR   46-01-08.400N 091-26-47.000W
HYS   38-50-51.542N 099-16-36.366W
HZL   40-58-30.317N 076-07-32.926W
HZN   39-30-59.092N 118-59-51.678W
IAH   29-57-24.899N 095-20-44.589W
IAI   19-39-16.082N 156-01-29.269W
ICT   37-44-42.842N 097-35-01.770W
IDA   43-31-08.400N 112-03-50.100W
IDU   29-57-21.807N 096-33-43.899W
IFI   35-48-18.958N 098-00-14.095W
IFM   31-25-43.168N 083-29-19.887W
IGB   33-29-07.830N 088-30-48.956W
IGM   35-15-37.886N 113-56-02.712W
IGN   41-39-55.637N 073-49-20.279W
IHD   39-58-27.270N 079-21-30.123W
IIK   59-56-34.152N 164-02-03.715W
IIP   42-40-33.885N 105-13-34.426W
IIU   38-06-12.470N 085-34-38.766W
IJX   39-46-35.170N 090-14-19.437W
IKK   41-04-27.917N 087-50-59.246W
IKV   41-41-54.900N 093-33-50.300W
ILA   39-04-16.135N 122-01-38.079W
ILC   38-15-00.694N 114-23-39.215W
ILI   59-44-52.645N 154-54-34.578W
ILL   45-07-03.100N 095-05-26.200W
ILM   34-21-05.995N 077-52-27.764W
ILR   43-35-35.242N 118-57-18.162W
IMB   44-38-54.210N 119-42-41.873W
IMT   45-48-57.739N 088-06-43.658W
INA   40-53-57.393N 117-48-43.866W
IND   39-43-27.860N 086-16-59.865W
INE   47-05-39.724N 114-23-48.430W
INK   31-52-29.148N 103-14-37.598W
INL   48-33-56.874N 093-24-20.440W
INW   35-03-41.766N 110-47-42.097W
IOW   41-31-08.248N 091-36-47.721W
IPL   32-44-55.905N 115-30-30.882W
IRK   40-08-05.915N 092-35-30.195W
IRQ   33-42-26.472N 082-09-43.432W
IRW   35-21-30.921N 097-36-33.241W
ISD   43-29-16.494N 099-45-41.014W
ISN   48-15-12.300N 103-45-02.400W
ISO   35-22-15.386N 077-33-29.987W
ISP   40-47-19.053N 073-05-41.898W
ISQ   45-58-34.434N 086-10-24.234W
ITH   42-29-42.060N 076-27-34.980W
ITO   19-43-16.862N 155-00-39.435W
IVV   43-33-36.800N 072-27-56.000W
IWA   33-18-11.400N 111-39-05.200W
IWD   46-31-56.108N 090-07-33.028W
JAC   43-36-29.852N 110-44-04.750W
JAN   32-30-26.949N 090-10-03.340W
JAX   30-29-33.855N 081-41-23.058W
JAY   43-34-34.796N 092-55-10.762W
JBR   35-52-29.694N 090-35-18.620W
JCT   30-35-52.865N 099-49-03.148W
JEF   38-35-20.960N 092-08-54.280W
JEN   32-09-34.520N 097-52-39.650W
JFK   40-37-58.400N 073-46-17.000W
JFN   41-45-36.597N 080-44-53.100W
JHW   42-11-18.993N 079-07-16.697W
JKS   35-35-56.355N 088-21-31.959W
JLI   33-08-25.651N 116-35-09.365W
JMS   46-55-58.359N 098-40-43.563W
JNC   39-03-34.436N 108-47-33.266W
JNU   58-24-27.827N 134-34-42.412W
JOH   60-28-51.428N 146-35-57.607W
JOT   41-32-47.008N 088-19-06.340W
