K4U9  44-44-08.694N 112-43-12.048W
K4V0  40-05-40.917N 108-45-40.382W
K4V1  37-41-47.895N 104-47-06.401W
K4V9  42-06-44.024N 098-02-19.239W
K4W1  34-36-06.614N 078-34-47.039W
K4Y4  44-54-45.038N 084-52-35.146W
K50D  46-00-32.880N 088-16-26.040W
K50F  32-34-54.413N 097-35-26.766W
K50I  40-45-31.436N 087-25-41.589W
K50J  33-11-09.800N 080-02-08.300W
K50R  29-51-01.200N 097-40-20.700W
K51A  32-17-00.587N 083-26-18.613W
K51J  33-51-12.900N 079-46-05.200W
K51R  30-54-46.200N 095-57-07.200W
K52A  33-36-43.651N 083-27-37.596W
K52F  33-02-59.441N 097-13-56.055W
K53A  32-18-07.200N 084-00-26.900W
K54F  31-52-54.516N 100-32-25.361W
K54J  30-43-52.680N 086-09-05.790W
K55J  30-36-42.123N 081-27-44.442W
K55K  37-16-11.089N 097-05-29.139W
K55M  33-55-00.367N 091-52-00.483W
K55Y  43-48-56.970N 091-49-48.342W
K56D  40-53-00.101N 083-18-52.317W
K56F  32-49-32.383N 100-24-55.388W
K57C  42-47-49.800N 088-22-21.400W
K57S  48-28-48.794N 115-54-12.624W
K59B  45-37-55.168N 070-14-50.242W
K5A4  34-00-56.899N 088-43-34.282W
K5A6  33-27-55.445N 089-43-45.293W
K5A9  32-56-00.464N 084-41-19.739W
K5B2  43-03-04.540N 073-51-40.300W
K5C1  29-43-24.800N 098-41-41.086W
K5C3  47-22-33.832N 094-47-52.991W
K5D3  42-59-34.700N 084-08-20.085W
K5F0  32-31-50.548N 092-57-14.572W
K5F1  33-12-13.340N 101-20-25.494W
K5F3  32-59-10.502N 093-08-18.592W
K5F4  32-47-18.629N 093-00-13.179W
K5G2  40-03-15.284N 078-50-49.080W
K5G6  41-39-53.000N 077-49-06.000W
K5G7  40-53-07.600N 083-52-07.100W
K5I4  40-10-40.533N 086-13-02.276W
K5J0  44-24-15.000N 118-57-45.000W
K5J9  34-05-18.541N 078-51-52.633W
K5K1  39-25-12.171N 089-59-28.383W
K5K2  38-27-15.056N 101-44-46.618W
K5M0  34-24-29.644N 086-55-58.622W
K5M1  34-15-45.360N 091-18-35.431W
K5M4  33-50-45.374N 092-21-55.543W
K5M5  36-20-37.100N 094-26-41.400W
K5M8  33-55-30.371N 093-09-45.613W
K5N8  46-51-16.903N 097-12-31.321W
K5R1  31-27-06.596N 088-11-40.031W
